card_id,decklist_id,place,player_name,quantity,brigade,n_brigades,card_name,in_reserve,image_file,official_set,type,strength,toughness,class,identifier,special_ability,rarity,reference,alignment,legality
shon_sievers_Promo_Son-of-God-Christmas,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Son of God ""Manger"" (Promo)",False,Promo_Son-of-God-Christmas,Promo,Dominant,,,,,Negate and rescue a Lost Soul.,Seasonal,Luke 2:7,Good,Rotation
shon_sievers_FR-The-Second-Coming,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,The Second Coming [Fundraiser],False,FR-The-Second-Coming,Fundraiser,Dominant,,,,[May not be included in a deck with the New Jerusalem Dominant],Search deck or discard pile for a good Dominant.,Promo,Hebrews 9:28,Good,Rotation
shon_sievers_FR-Three-Woes,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Three Woes [Fundraiser],False,FR-Three-Woes,Fundraiser,Dominant,,,,[When put in play choose to be good or evil],"Place in territory: Negate a card of a different alignment than this card for one round. Each upkeep, you may negate a card of a different alignment than this card for one round.",Promo,Revelation 9:12,Neutral,Rotation
shon_sievers_K7-Lost-Soul-Exodus-15_24,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Grumbled"" [Exodus 15:24 - K]",False,K7-Lost-Soul-Exodus-15_24,K Starter,Lost Soul,,,,"[""Grumbled""]","If put in play, you may underdeck a card from hand to draw 1.",Starter,Exodus 15:24,Neutral,Rotation
shon_sievers_L6-Lost-Soul-ISamuel-5_12,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Outcry"" [I Samuel 5:12 - L]",False,L6-Lost-Soul-ISamuel-5_12,L Starter,Lost Soul,,,,"[""Outcry""]","If put in play, you may exchange a card from hand with an evil Philistine from deck.",Starter,I Samuel 5:12,Neutral,Rotation
shon_sievers_22-Lost-Soul-Humble-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Humble"" [James 4:6 / Proverbs 3:34 - RoJ]",False,22-Lost-Soul-Humble-R,Revelation of John,Lost Soul,,,,"[""Humble""]","During battle, while opponent has more cards in hand than you, your cards cannot be prevented by opponents' cards.",Rare,James 4:6 (Proverbs 3:34),Neutral,Rotation
shon_sievers_205-Lost-Soul-Distressed-Zephaniah-1_17,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Distressed"" [Zephaniah 1:17]",False,205-Lost-Soul-Distressed-Zephaniah-1_17,Prophecies of Christ,Lost Soul,,,,"[""Distressed""]",Negate characters in other territories.,Common,Zephaniah 1:17,Neutral,Rotation
shon_sievers_LoC_035-Lost-Soul-Complacent-Zephaniah-1_12-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Complacent"" [Zephaniah 1:12]",False,LoC_035-Lost-Soul-Complacent-Zephaniah-1_12-R,Lineage of Christ,Lost Soul,,,,"[""Complacent""]",Restrict Dominants during the battle phase.,Rare,Zephaniah 1:12,Neutral,Rotation
shon_sievers_Lost_Soul_Luke_5_15_(Promo),nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Crowds"" [Luke 5:15] [2016 - Local]",False,Lost_Soul_Luke_5_15_(Promo),Promo,Lost Soul,,,,"[""Crowds""]","While you have drawn 4 or fewer cards this turn, protect your hand and deck from opponents' cards.",Promo,Luke 5:15,Neutral,Rotation
shon_sievers_035-Lost-Soul-Salty-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,"Lost Soul ""Salty"" [Matthew 5:13]",False,035-Lost-Soul-Salty-R,Gospel of Christ,Lost Soul,,,,"[""Salty""]","While no Evil Character is in battle, prevent Enhancements.",Rare,Matthew 5:13,Neutral,Rotation
